C,Five-Minute Final Locational Marginal Prices
C,Filename: lmp_rt_final_4437_20201022_20201028.csv
C,Report generated 2021-01-23 03:02:24 EST
H,Location ID,Local Time,Energy Component,Congestion Component,Loss Component,LMP
D,4437,2020-10-23 08:40:00,30.85,0.04,-0.28,30.61
D,4437,2020-10-23 08:45:00,30.85,0.04,-0.28,30.61
D,4437,2020-10-23 08:50:00,33.01,0.04,-0.13,32.92
D,4437,2020-10-23 08:55:00,33.01,0.04,-0.13,32.92
D,4437,2020-10-23 09:00:00,33.01,0.04,-0.13,32.92
D,4437,2020-10-23 09:05:00,20.15,0.03,-0.05,20.13
D,4437,2020-10-23 09:10:00,20.15,0.03,-0.05,20.13
D,4437,2020-10-23 09:15:00,20.15,0.03,-0.05,20.13
D,4437,2020-10-23 09:20:00,21.39,0.02,-0.12,21.29
D,4437,2020-10-23 09:25:00,28.52,0.03,-0.17,28.38
D,4437,2020-10-23 09:30:00,28.52,0.03,-0.17,28.38
D,4437,2020-10-23 09:35:00,30.89,0.04,-0.13,30.8
D,4437,2020-10-23 09:40:00,30.89,0.04,-0.13,30.8
D,4437,2020-10-23 09:45:00,30.89,0.04,-0.13,30.8
D,4437,2020-10-23 09:50:00,28.52,0.04,-0.12,28.44
D,4437,2020-10-23 09:55:00,28.52,0.04,-0.12,28.44
D,4437,2020-10-23 10:00:00,28.52,0.04,-0.12,28.44
D,4437,2020-10-23 10:05:00,28.52,0.04,-0.12,28.44
D,4437,2020-10-23 10:10:00,21.21,0.02,-0.07,21.16
D,4437,2020-10-23 10:15:00,40.79,0.05,-0.19,40.65
D,4437,2020-10-23 10:20:00,40.79,0.05,-0.19,40.65
D,4437,2020-10-23 10:25:00,34.06,0.04,-0.27,33.83
D,4437,2020-10-23 10:30:00,34.06,0.04,-0.27,33.83
D,4437,2020-10-23 10:35:00,34.06,0.03,-0.26,33.83
D,4437,2020-10-23 10:40:00,34.06,0.03,-0.26,33.83
D,4437,2020-10-23 10:45:00,34.06,0.03,-0.26,33.83
D,4437,2020-10-23 10:50:00,34.06,0.04,-0.22,33.88
D,4437,2020-10-23 10:55:00,34.06,0.04,-0.22,33.88
D,4437,2020-10-23 11:00:00,34.06,0.04,-0.22,33.88
D,4437,2020-10-23 11:05:00,30.93,0.02,-0.18,30.77
D,4437,2020-10-23 11:10:00,30.93,0.02,-0.18,30.77
D,4437,2020-10-23 11:15:00,30.93,0.02,-0.18,30.77
D,4437,2020-10-23 11:20:00,30.93,0.02,-0.18,30.77
D,4437,2020-10-23 11:25:00,24.2,0.01,-0.1,24.11
D,4437,2020-10-23 11:30:00,24.2,0.01,-0.1,24.11
D,4437,2020-10-23 11:35:00,24.2,0.01,-0.1,24.11
D,4437,2020-10-23 11:40:00,21.31,0.01,-0.08,21.24
D,4437,2020-10-23 11:45:00,21.31,0.01,-0.08,21.24
D,4437,2020-10-23 11:50:00,39.98,0.03,-0.14,39.87
D,4437,2020-10-23 11:55:00,39.98,0.03,-0.14,39.87
D,4437,2020-10-23 12:00:00,39.98,0.03,-0.14,39.87
D,4437,2020-10-23 12:05:00,18.02,0.01,-0.01,18.02
D,4437,2020-10-23 12:10:00,18.02,0.01,-0.01,18.02
D,4437,2020-10-23 12:15:00,18.02,0.01,-0.01,18.02
D,4437,2020-10-23 12:20:00,18.02,0.01,-0.01,18.02
D,4437,2020-10-23 12:25:00,18.7,0.01,-0.09,18.62
D,4437,2020-10-23 12:30:00,18.7,0.01,-0.09,18.62
D,4437,2020-10-23 12:35:00,18.7,0.01,-0.09,18.62
D,4437,2020-10-23 12:40:00,18.7,0.01,-0.09,18.62
D,4437,2020-10-23 12:45:00,17.99,0.01,-0.06,17.94
D,4437,2020-10-23 12:50:00,18.44,0.01,-0.06,18.39
D,4437,2020-10-23 12:55:00,18.44,0.01,-0.06,18.39
D,4437,2020-10-23 13:00:00,18.44,0.01,-0.06,18.39
D,4437,2020-10-23 13:05:00,18.51,0.01,-0.08,18.44
D,4437,2020-10-23 13:10:00,18.51,0.01,-0.08,18.44
D,4437,2020-10-23 13:15:00,18.51,0.01,-0.08,18.44
D,4437,2020-10-23 13:20:00,19.95,0.01,-0.09,19.87
D,4437,2020-10-23 13:25:00,19.95,0.01,-0.09,19.87
D,4437,2020-10-23 13:30:00,19.95,0.01,-0.09,19.87
D,4437,2020-10-23 13:35:00,19.95,0.01,-0.09,19.87
D,4437,2020-10-23 13:40:00,19.95,0.01,-0.09,19.87
D,4437,2020-10-23 13:45:00,17.5,0.01,-0.07,17.44
D,4437,2020-10-23 13:50:00,17.5,0.01,-0.07,17.44
D,4437,2020-10-23 13:55:00,17.5,0.01,-0.07,17.44
D,4437,2020-10-23 14:00:00,17.5,0.01,-0.07,17.44
D,4437,2020-10-23 14:05:00,18.35,0.01,-0.13,18.23
D,4437,2020-10-23 14:10:00,18.35,0.01,-0.13,18.23
D,4437,2020-10-23 14:15:00,18.35,0.01,-0.13,18.23
D,4437,2020-10-23 14:20:00,20.79,0.01,-0.09,20.71
D,4437,2020-10-23 14:25:00,20.79,0.01,-0.09,20.71
D,4437,2020-10-23 14:30:00,20.79,0.01,-0.09,20.71
D,4437,2020-10-23 14:35:00,18.36,0.01,-0.11,18.26
D,4437,2020-10-23 14:40:00,18.36,0.01,-0.11,18.26
D,4437,2020-10-23 14:45:00,18.36,0.01,-0.11,18.26
D,4437,2020-10-23 14:50:00,18.36,0.01,-0.11,18.26
D,4437,2020-10-23 14:55:00,18.45,0.01,-0.1,18.36
D,4437,2020-10-23 15:00:00,18.45,0.01,-0.1,18.36
D,4437,2020-10-23 15:05:00,18.3,0.01,-0.08,18.23
D,4437,2020-10-23 15:10:00,18.3,0.01,-0.08,18.23
D,4437,2020-10-23 15:15:00,18.3,0.01,-0.08,18.23
D,4437,2020-10-23 15:20:00,17.51,0.01,-0.1,17.42
D,4437,2020-10-23 15:25:00,17.51,0.01,-0.1,17.42
D,4437,2020-10-23 15:30:00,17.51,0.01,-0.1,17.42
D,4437,2020-10-23 15:35:00,20.67,0.01,-0.15,20.53
D,4437,2020-10-23 15:40:00,20.67,0.01,-0.15,20.53
D,4437,2020-10-23 15:45:00,20.67,0.01,-0.15,20.53
D,4437,2020-10-23 15:50:00,20.67,0.02,-0.1,20.59
D,4437,2020-10-23 15:55:00,20.67,0.02,-0.1,20.59
D,4437,2020-10-23 16:00:00,20.67,0.02,-0.1,20.59
D,4437,2020-10-23 16:05:00,21.24,0.01,-0.16,21.09
D,4437,2020-10-23 16:10:00,21.24,0.01,-0.16,21.09
D,4437,2020-10-23 16:15:00,21.24,0.01,-0.16,21.09
D,4437,2020-10-23 16:20:00,21.24,0.01,-0.16,21.09
D,4437,2020-10-23 16:25:00,21.24,0.01,-0.16,21.09
D,4437,2020-10-23 16:30:00,22.33,0.01,-0.16,22.18
D,4437,2020-10-23 16:35:00,22.33,0.01,-0.16,22.18
D,4437,2020-10-23 16:40:00,37.94,0.03,-0.3,37.67
D,4437,2020-10-23 16:45:00,37.94,0.03,-0.3,37.67
D,4437,2020-10-23 16:50:00,27.44,0.02,-0.26,27.2
D,4437,2020-10-23 16:55:00,27.44,0.02,-0.26,27.2
D,4437,2020-10-23 17:00:00,27.44,0.02,-0.26,27.2
D,4437,2020-10-23 17:05:00,19.38,0.02,-0.23,19.17
D,4437,2020-10-23 17:10:00,19.38,0.02,-0.23,19.17
D,4437,2020-10-23 17:15:00,19.38,0.02,-0.23,19.17
D,4437,2020-10-23 17:20:00,19.38,0.02,-0.23,19.17
D,4437,2020-10-23 17:25:00,30.82,0.02,-0.2,30.64
D,4437,2020-10-23 17:30:00,30.82,0.02,-0.2,30.64
D,4437,2020-10-23 17:35:00,30.82,0.02,-0.2,30.64
D,4437,2020-10-23 17:40:00,32.03,0.03,-0.25,31.81
D,4437,2020-10-23 17:45:00,32.03,0.03,-0.25,31.81
D,4437,2020-10-23 17:50:00,32.03,0.03,-0.25,31.81
D,4437,2020-10-23 17:55:00,35.13,0.03,-0.24,34.92
D,4437,2020-10-23 18:00:00,35.13,0.03,-0.24,34.92
D,4437,2020-10-23 18:05:00,35.13,0.03,-0.24,34.92
D,4437,2020-10-23 18:10:00,35.13,0.03,-0.24,34.92
D,4437,2020-10-23 18:15:00,35.13,0.03,-0.24,34.92
D,4437,2020-10-23 18:20:00,28.54,0.02,-0.23,28.33
D,4437,2020-10-23 18:25:00,28.54,0.02,-0.23,28.33
D,4437,2020-10-23 18:30:00,28.54,0.02,-0.23,28.33
D,4437,2020-10-23 18:35:00,28.54,0.02,-0.23,28.33
D,4437,2020-10-23 18:40:00,28.55,0.02,-0.18,28.39
D,4437,2020-10-23 18:45:00,28.55,0.02,-0.18,28.39
D,4437,2020-10-23 18:50:00,23.84,0.02,-0.15,23.71
D,4437,2020-10-23 18:55:00,23.84,0.02,-0.15,23.71
D,4437,2020-10-23 19:00:00,33.2,0.03,-0.2,33.03
D,4437,2020-10-23 19:05:00,34.8,0.03,-0.2,34.63
D,4437,2020-10-23 19:10:00,34.8,0.03,-0.2,34.63
D,4437,2020-10-23 19:15:00,36.17,0.03,-0.38,35.82
D,4437,2020-10-23 19:20:00,36.19,0.03,-0.41,35.81
D,4437,2020-10-23 19:25:00,36.19,0.03,-0.41,35.81
D,4437,2020-10-23 19:30:00,36.19,0.03,-0.41,35.81
D,4437,2020-10-23 19:35:00,33.15,0.04,-0.29,32.9
D,4437,2020-10-23 19:40:00,33.15,0.04,-0.29,32.9
D,4437,2020-10-23 19:45:00,33.15,0.04,-0.29,32.9
D,4437,2020-10-23 19:50:00,23.77,0.02,-0.16,23.63
D,4437,2020-10-23 19:55:00,23.77,0.02,-0.16,23.63
D,4437,2020-10-23 20:00:00,23.77,0.02,-0.16,23.63
D,4437,2020-10-23 20:05:00,23.77,0.02,-0.16,23.63
D,4437,2020-10-23 20:10:00,22.23,0.02,-0.1,22.15
D,4437,2020-10-23 20:15:00,22.23,0.02,-0.1,22.15
D,4437,2020-10-23 20:20:00,17.47,0.01,-0.04,17.44
D,4437,2020-10-23 20:25:00,17.47,0.01,-0.04,17.44
D,4437,2020-10-23 20:30:00,17.47,0.01,-0.04,17.44
D,4437,2020-10-23 20:35:00,16.8,0.02,-0.02,16.8
D,4437,2020-10-23 20:40:00,16.74,0.01,-0.09,16.66
D,4437,2020-10-23 20:45:00,16.74,0.01,-0.09,16.66
D,4437,2020-10-23 20:50:00,16.37,0.01,-0.07,16.31
D,4437,2020-10-23 20:55:00,16.37,0.01,-0.07,16.31
D,4437,2020-10-23 21:00:00,17.43,0.02,-0.06,17.39
D,4437,2020-10-23 21:05:00,17.43,0.02,-0.06,17.39
D,4437,2020-10-23 21:10:00,17.08,0.01,-0.03,17.06
D,4437,2020-10-23 21:15:00,18.19,0.02,-0.06,18.15
D,4437,2020-10-23 21:20:00,18.19,0.02,-0.06,18.15
D,4437,2020-10-23 21:25:00,21.19,0.02,-0.11,21.1
D,4437,2020-10-23 21:30:00,20.0,0.01,-0.12,19.89
D,4437,2020-10-23 21:35:00,20.0,0.01,-0.12,19.89
D,4437,2020-10-23 21:40:00,20.0,0.01,-0.12,19.89
D,4437,2020-10-23 21:45:00,20.0,0.01,-0.12,19.89
D,4437,2020-10-23 21:50:00,17.39,0.01,-0.1,17.3
D,4437,2020-10-23 21:55:00,17.39,0.01,-0.1,17.3
D,4437,2020-10-23 22:00:00,16.92,0.01,-0.12,16.81
D,4437,2020-10-23 22:05:00,17.47,0.01,-0.13,17.35
D,4437,2020-10-23 22:10:00,17.46,0.01,-0.12,17.35
D,4437,2020-10-23 22:15:00,17.46,0.01,-0.12,17.35
D,4437,2020-10-23 22:20:00,21.17,0.02,-0.08,21.11
D,4437,2020-10-23 22:25:00,21.17,0.02,-0.08,21.11
D,4437,2020-10-23 22:30:00,21.17,0.02,-0.08,21.11
D,4437,2020-10-23 22:35:00,16.77,0.01,-0.05,16.73
D,4437,2020-10-23 22:40:00,16.77,0.01,-0.05,16.73
D,4437,2020-10-23 22:45:00,16.77,0.01,-0.05,16.73
D,4437,2020-10-23 22:50:00,13.54,0.01,-0.09,13.46
D,4437,2020-10-23 22:55:00,13.54,0.01,-0.09,13.46
D,4437,2020-10-23 23:00:00,13.54,0.01,-0.09,13.46
D,4437,2020-10-23 23:05:00,13.33,0.21,-0.09,13.45
D,4437,2020-10-23 23:10:00,13.33,0.21,-0.09,13.45
D,4437,2020-10-23 23:15:00,13.68,0.05,-0.1,13.63
D,4437,2020-10-23 23:20:00,13.68,0.05,-0.1,13.63
D,4437,2020-10-23 23:25:00,13.68,0.05,-0.1,13.63
D,4437,2020-10-23 23:30:00,13.68,0.05,-0.1,13.63
D,4437,2020-10-23 23:35:00,14.08,0.02,-0.05,14.05
D,4437,2020-10-23 23:40:00,14.08,0.02,-0.05,14.05
D,4437,2020-10-23 23:45:00,14.08,0.02,-0.05,14.05
D,4437,2020-10-23 23:50:00,13.29,0.05,-0.03,13.31
D,4437,2020-10-23 23:55:00,13.29,0.05,-0.03,13.31
D,4437,2020-10-24 00:00:00,15.06,0.01,-0.03,15.04
D,4437,2020-10-24 00:05:00,15.06,0.01,-0.03,15.04
D,4437,2020-10-24 00:10:00,15.89,0.0,-0.06,15.83
D,4437,2020-10-24 00:15:00,15.89,0.0,-0.06,15.83
D,4437,2020-10-24 00:20:00,15.89,0.0,-0.09,15.8
D,4437,2020-10-24 00:25:00,15.89,0.0,-0.09,15.8
D,4437,2020-10-24 00:30:00,15.89,0.0,-0.09,15.8
D,4437,2020-10-24 00:35:00,15.89,0.0,-0.09,15.8
D,4437,2020-10-24 00:40:00,16.89,0.0,-0.13,16.76
D,4437,2020-10-24 00:45:00,16.89,0.0,-0.13,16.76
D,4437,2020-10-24 00:50:00,16.89,0.0,-0.13,16.76
D,4437,2020-10-24 00:55:00,14.48,0.0,-0.08,14.4
D,4437,2020-10-24 01:00:00,14.48,0.0,-0.08,14.4
D,4437,2020-10-24 01:05:00,14.94,0.0,-0.13,14.81
D,4437,2020-10-24 01:10:00,14.94,0.0,-0.13,14.81
D,4437,2020-10-24 01:15:00,14.47,0.07,-0.05,14.49
D,4437,2020-10-24 01:20:00,14.47,0.07,-0.05,14.49
D,4437,2020-10-24 01:25:00,14.47,0.07,-0.05,14.49
D,4437,2020-10-24 01:30:00,12.23,1.54,-0.1,13.67
D,4437,2020-10-24 01:35:00,12.23,1.54,-0.1,13.67
D,4437,2020-10-24 01:40:00,12.23,1.54,-0.1,13.67
D,4437,2020-10-24 01:45:00,14.87,0.0,-0.11,14.76
D,4437,2020-10-24 01:50:00,14.87,0.0,-0.11,14.76
D,4437,2020-10-24 01:55:00,14.87,0.0,-0.11,14.76
D,4437,2020-10-24 02:00:00,14.06,0.26,-0.1,14.22
D,4437,2020-10-24 02:05:00,14.06,0.26,-0.1,14.22
D,4437,2020-10-24 02:10:00,14.06,0.26,-0.1,14.22
D,4437,2020-10-24 02:15:00,14.06,0.26,-0.1,14.22
D,4437,2020-10-24 02:20:00,14.06,0.26,-0.1,14.22
D,4437,2020-10-24 02:25:00,14.06,0.26,-0.1,14.22
D,4437,2020-10-24 02:30:00,11.69,2.75,-0.08,14.36
D,4437,2020-10-24 02:35:00,10.23,3.51,-0.08,13.66
D,4437,2020-10-24 02:40:00,10.23,3.51,-0.08,13.66
D,4437,2020-10-24 02:45:00,9.54,4.13,-0.08,13.59
D,4437,2020-10-24 02:50:00,9.54,4.13,-0.08,13.59
D,4437,2020-10-24 02:55:00,9.54,4.13,-0.08,13.59
D,4437,2020-10-24 03:00:00,9.54,4.13,-0.08,13.59
D,4437,2020-10-24 03:05:00,15.07,0.0,-0.1,14.97
D,4437,2020-10-24 03:10:00,15.07,0.0,-0.1,14.97
D,4437,2020-10-24 03:15:00,13.84,0.0,-0.11,13.73
D,4437,2020-10-24 03:20:00,13.84,0.0,-0.11,13.73
D,4437,2020-10-24 03:25:00,14.49,0.0,-0.14,14.35
D,4437,2020-10-24 03:30:00,13.87,0.0,-0.11,13.76
D,4437,2020-10-24 03:35:00,13.87,0.0,-0.11,13.76
D,4437,2020-10-24 03:40:00,13.87,0.0,-0.11,13.76
D,4437,2020-10-24 03:45:00,13.87,0.0,-0.11,13.76
D,4437,2020-10-24 03:50:00,13.69,0.0,-0.12,13.57
D,4437,2020-10-24 03:55:00,13.69,0.0,-0.12,13.57
D,4437,2020-10-24 04:00:00,13.54,0.0,-0.1,13.44
D,4437,2020-10-24 04:05:00,13.54,0.0,-0.1,13.44
D,4437,2020-10-24 04:10:00,13.54,0.0,-0.1,13.44
D,4437,2020-10-24 04:15:00,13.54,0.0,-0.1,13.44
D,4437,2020-10-24 04:20:00,9.08,4.43,-0.06,13.45
D,4437,2020-10-24 04:25:00,9.08,4.43,-0.06,13.45
D,4437,2020-10-24 04:30:00,9.08,4.43,-0.06,13.45
D,4437,2020-10-24 04:35:00,9.15,4.44,-0.07,13.52
D,4437,2020-10-24 04:40:00,9.15,4.44,-0.07,13.52
D,4437,2020-10-24 04:45:00,9.19,4.43,-0.06,13.56
D,4437,2020-10-24 04:50:00,9.19,4.43,-0.06,13.56
D,4437,2020-10-24 04:55:00,9.19,4.43,-0.06,13.56
D,4437,2020-10-24 05:00:00,9.19,4.43,-0.06,13.56
D,4437,2020-10-24 05:05:00,13.73,0.01,-0.13,13.61
D,4437,2020-10-24 05:10:00,13.73,0.01,-0.13,13.61
D,4437,2020-10-24 05:15:00,14.6,0.01,-0.11,14.5
D,4437,2020-10-24 05:20:00,14.6,0.01,-0.11,14.5
D,4437,2020-10-24 05:25:00,14.6,0.01,-0.11,14.5
D,4437,2020-10-24 05:30:00,15.06,0.01,-0.11,14.96
D,4437,2020-10-24 05:35:00,15.06,0.01,-0.11,14.96
D,4437,2020-10-24 05:40:00,15.06,0.01,-0.11,14.96
D,4437,2020-10-24 05:45:00,15.06,0.01,-0.11,14.96
D,4437,2020-10-24 05:50:00,15.07,0.01,-0.12,14.96
D,4437,2020-10-24 05:55:00,15.07,0.01,-0.12,14.96
D,4437,2020-10-24 06:00:00,15.07,0.01,-0.12,14.96
D,4437,2020-10-24 06:05:00,13.89,0.01,-0.14,13.76
D,4437,2020-10-24 06:10:00,13.89,0.01,-0.14,13.76
D,4437,2020-10-24 06:15:00,13.73,0.01,-0.09,13.65
D,4437,2020-10-24 06:20:00,13.73,0.01,-0.09,13.65
D,4437,2020-10-24 06:25:00,13.87,0.01,-0.08,13.8
D,4437,2020-10-24 06:30:00,13.87,0.01,-0.08,13.8
D,4437,2020-10-24 06:35:00,13.73,0.01,-0.09,13.65
D,4437,2020-10-24 06:40:00,13.73,0.01,-0.09,13.65
D,4437,2020-10-24 06:45:00,15.15,0.01,-0.1,15.06
D,4437,2020-10-24 06:50:00,15.15,0.01,-0.1,15.06
D,4437,2020-10-24 06:55:00,16.76,0.01,-0.08,16.69
D,4437,2020-10-24 07:00:00,16.76,0.01,-0.08,16.69
D,4437,2020-10-24 07:05:00,15.29,0.01,-0.09,15.21
D,4437,2020-10-24 07:10:00,15.29,0.01,-0.09,15.21
D,4437,2020-10-24 07:15:00,15.31,0.01,-0.1,15.22
D,4437,2020-10-24 07:20:00,15.31,0.01,-0.1,15.22
D,4437,2020-10-24 07:25:00,17.26,0.02,-0.11,17.17
D,4437,2020-10-24 07:30:00,17.26,0.02,-0.11,17.17
D,4437,2020-10-24 07:35:00,17.34,0.02,-0.11,17.25
D,4437,2020-10-24 07:40:00,17.36,0.02,-0.13,17.25
D,4437,2020-10-24 07:45:00,17.36,0.02,-0.13,17.25
D,4437,2020-10-24 07:50:00,17.36,0.02,-0.12,17.26
D,4437,2020-10-24 07:55:00,17.36,0.02,-0.12,17.26
D,4437,2020-10-24 08:00:00,17.35,0.02,-0.09,17.28
D,4437,2020-10-24 08:05:00,17.36,0.01,-0.1,17.27
D,4437,2020-10-24 08:10:00,17.36,0.01,-0.1,17.27
D,4437,2020-10-24 08:15:00,17.36,0.01,-0.1,17.27
D,4437,2020-10-24 08:20:00,17.35,0.02,-0.1,17.27
D,4437,2020-10-24 08:25:00,17.35,0.02,-0.1,17.27
D,4437,2020-10-24 08:30:00,17.39,0.02,-0.09,17.32
D,4437,2020-10-24 08:35:00,17.35,0.02,-0.07,17.3
D,4437,2020-10-24 08:40:00,17.35,0.02,-0.08,17.29
D,4437,2020-10-24 08:45:00,17.35,0.02,-0.08,17.29
D,4437,2020-10-24 08:50:00,18.83,0.02,-0.11,18.74
D,4437,2020-10-24 08:55:00,19.32,0.02,-0.12,19.22
D,4437,2020-10-24 09:00:00,19.32,0.02,-0.12,19.22
D,4437,2020-10-24 09:05:00,19.47,0.02,-0.07,19.42
D,4437,2020-10-24 09:10:00,19.47,0.02,-0.07,19.42
D,4437,2020-10-24 09:15:00,19.47,0.02,-0.07,19.42
D,4437,2020-10-24 09:20:00,19.47,0.02,-0.07,19.42
D,4437,2020-10-24 09:25:00,21.59,0.02,-0.1,21.51
D,4437,2020-10-24 09:30:00,31.82,0.04,-0.12,31.74
D,4437,2020-10-24 09:35:00,31.82,0.04,-0.12,31.74
D,4437,2020-10-24 09:40:00,31.82,0.04,-0.12,31.74
D,4437,2020-10-24 09:45:00,21.64,0.02,-0.05,21.61
D,4437,2020-10-24 09:50:00,19.52,0.02,-0.01,19.53
D,4437,2020-10-24 09:55:00,19.52,0.02,-0.01,19.53
D,4437,2020-10-24 10:00:00,22.09,0.02,0.0,22.11
D,4437,2020-10-24 10:05:00,22.1,0.02,-0.01,22.11
D,4437,2020-10-24 10:10:00,24.07,0.03,-0.09,24.01
D,4437,2020-10-24 10:15:00,24.07,0.03,-0.09,24.01
D,4437,2020-10-24 10:20:00,31.72,0.04,-0.12,31.64
D,4437,2020-10-24 10:25:00,34.02,0.04,-0.26,33.8
D,4437,2020-10-24 10:30:00,34.02,0.04,-0.26,33.8
D,4437,2020-10-24 10:35:00,34.02,0.04,-0.26,33.8
D,4437,2020-10-24 10:40:00,24.56,0.03,-0.15,24.44
D,4437,2020-10-24 10:45:00,24.56,0.03,-0.15,24.44
D,4437,2020-10-24 10:50:00,24.05,0.03,-0.21,23.87
D,4437,2020-10-24 10:55:00,24.05,0.03,-0.21,23.87
D,4437,2020-10-24 11:00:00,24.05,0.03,-0.21,23.87
D,4437,2020-10-24 11:05:00,24.05,0.03,-0.21,23.87
D,4437,2020-10-24 11:10:00,35.03,0.04,-0.28,34.79
D,4437,2020-10-24 11:15:00,35.03,0.04,-0.28,34.79
D,4437,2020-10-24 11:20:00,35.13,0.04,-0.28,34.89
D,4437,2020-10-24 11:25:00,35.13,0.04,-0.28,34.89
D,4437,2020-10-24 11:30:00,35.2,0.09,-0.28,35.01
D,4437,2020-10-24 11:35:00,35.2,0.09,-0.28,35.01
D,4437,2020-10-24 11:40:00,35.2,0.09,-0.28,35.01
D,4437,2020-10-24 11:45:00,36.21,0.09,-0.3,36.0
D,4437,2020-10-24 11:50:00,36.16,0.09,-0.29,35.96
D,4437,2020-10-24 11:55:00,36.16,0.09,-0.29,35.96
D,4437,2020-10-24 12:00:00,45.23,0.05,-0.4,44.88
D,4437,2020-10-24 12:05:00,45.23,0.05,-0.4,44.88
D,4437,2020-10-24 12:10:00,45.17,0.1,-0.46,44.81
D,4437,2020-10-24 12:15:00,45.17,0.1,-0.46,44.81
D,4437,2020-10-24 12:20:00,39.12,0.09,-0.25,38.96
D,4437,2020-10-24 12:25:00,39.12,0.09,-0.25,38.96
D,4437,2020-10-24 12:30:00,39.27,0.04,-0.29,39.02
D,4437,2020-10-24 12:35:00,39.27,0.04,-0.29,39.02
D,4437,2020-10-24 12:40:00,38.24,0.04,-0.34,37.94
D,4437,2020-10-24 12:45:00,38.24,0.04,-0.34,37.94
D,4437,2020-10-24 12:50:00,39.28,0.04,-0.3,39.02
D,4437,2020-10-24 12:55:00,39.28,0.04,-0.3,39.02
D,4437,2020-10-24 13:00:00,41.24,0.09,-0.31,41.02
D,4437,2020-10-24 13:05:00,41.24,0.09,-0.31,41.02
D,4437,2020-10-24 13:10:00,41.28,0.04,-0.36,40.96
D,4437,2020-10-24 13:15:00,41.28,0.04,-0.36,40.96
D,4437,2020-10-24 13:20:00,41.28,0.04,-0.36,40.96
D,4437,2020-10-24 13:25:00,46.34,0.05,-0.38,46.01
D,4437,2020-10-24 13:30:00,46.34,0.05,-0.38,46.01
D,4437,2020-10-24 13:35:00,46.34,0.05,-0.38,46.01
D,4437,2020-10-24 13:40:00,41.2,0.04,-0.23,41.01
D,4437,2020-10-24 13:45:00,41.26,0.04,-0.23,41.07
D,4437,2020-10-24 13:50:00,41.26,0.04,-0.23,41.07
D,4437,2020-10-24 13:55:00,41.26,0.04,-0.23,41.07
D,4437,2020-10-24 14:00:00,43.34,0.05,-0.22,43.17
D,4437,2020-10-24 14:05:00,43.34,0.05,-0.22,43.17
D,4437,2020-10-24 14:10:00,43.34,0.05,-0.22,43.17
D,4437,2020-10-24 14:15:00,48.26,0.05,-0.33,47.98
D,4437,2020-10-24 14:20:00,48.26,0.05,-0.33,47.98
D,4437,2020-10-24 14:25:00,48.26,0.05,-0.33,47.98
D,4437,2020-10-24 14:30:00,43.22,0.05,-0.21,43.06
D,4437,2020-10-24 14:35:00,43.22,0.05,-0.21,43.06
D,4437,2020-10-24 14:40:00,48.3,0.05,-0.27,48.08
D,4437,2020-10-24 14:45:00,48.3,0.05,-0.27,48.08
D,4437,2020-10-24 14:50:00,42.25,0.05,-0.23,42.07
D,4437,2020-10-24 14:55:00,42.25,0.05,-0.23,42.07
D,4437,2020-10-24 15:00:00,42.25,0.05,-0.23,42.07
D,4437,2020-10-24 15:05:00,44.27,0.05,-0.25,44.07
D,4437,2020-10-24 15:10:00,31.86,0.03,-0.11,31.78
D,4437,2020-10-24 15:15:00,31.86,0.03,-0.11,31.78
D,4437,2020-10-24 15:20:00,32.77,0.04,-0.18,32.63
D,4437,2020-10-24 15:25:00,32.77,0.04,-0.18,32.63
D,4437,2020-10-24 15:30:00,32.8,0.04,-0.18,32.66
D,4437,2020-10-24 15:35:00,32.8,0.04,-0.18,32.66
D,4437,2020-10-24 15:40:00,31.92,0.03,-0.22,31.73
D,4437,2020-10-24 15:45:00,31.92,0.03,-0.22,31.73
D,4437,2020-10-24 15:50:00,32.79,0.03,-0.21,32.61
D,4437,2020-10-24 15:55:00,32.79,0.03,-0.21,32.61
D,4437,2020-10-24 16:00:00,31.64,0.03,-0.17,31.5
D,4437,2020-10-24 16:05:00,24.25,0.03,-0.15,24.13
D,4437,2020-10-24 16:10:00,24.25,0.03,-0.15,24.13
D,4437,2020-10-24 16:15:00,31.62,0.03,-0.11,31.54
D,4437,2020-10-24 16:20:00,31.62,0.03,-0.11,31.54
D,4437,2020-10-24 16:25:00,24.22,0.03,-0.09,24.16
D,4437,2020-10-24 16:30:00,24.22,0.03,-0.09,24.16
D,4437,2020-10-24 16:35:00,31.83,0.04,-0.14,31.73
D,4437,2020-10-24 16:40:00,44.1,0.05,-0.16,43.99
D,4437,2020-10-24 16:45:00,44.1,0.05,-0.16,43.99
D,4437,2020-10-24 16:50:00,44.1,0.05,-0.16,43.99
D,4437,2020-10-24 16:55:00,44.1,0.05,-0.17,43.98
D,4437,2020-10-24 17:00:00,44.1,0.05,-0.17,43.98
D,4437,2020-10-24 17:05:00,31.87,0.04,-0.15,31.76
D,4437,2020-10-24 17:10:00,31.87,0.04,-0.15,31.76
D,4437,2020-10-24 17:15:00,31.84,0.0,-0.08,31.76
D,4437,2020-10-24 17:20:00,31.76,0.03,-0.01,31.78
D,4437,2020-10-24 17:25:00,31.76,0.03,-0.01,31.78
D,4437,2020-10-24 17:30:00,47.79,0.06,-0.07,47.78
D,4437,2020-10-24 17:35:00,47.79,0.06,-0.07,47.78
